longitude	latitude	speed
-122.7842	45.511	9.8
-122.784708	45.511273	10
-122.784948	45.511665	9.4
-122.784737	45.512057	9.4
-122.784522	45.512325	6.4
-122.784482	45.51243	2.2
-122.784425	45.512498	2
-122.784077	45.512572	5.4
-122.783538	45.512533	8.8
-122.78288	45.512525	10.6
-122.782073	45.512507	12.8
-122.781197	45.512475	13.4
-122.780318	45.512385	13.8
-122.779492	45.512158	13.8
-122.778765	45.511827	13.2
-122.778208	45.511455	11.6
-122.777928	45.511173	7
-122.777842	45.511065	2.4
-122.777693	45.5109	0.4
-122.777292	45.510695	8
-122.776717	45.510527	9.8
-122.776145	45.510232	11.2
-122.775522	45.509915	11.8
-122.774882	45.50959	12.4
-122.774248	45.509308	11.2
-122.773773	45.509172	7.6
-122.773638	45.50914	1.6
-122.772747	45.509072	3
-122.772005	45.508972	11.8
-122.771278	45.5089	11.2
-122.770762	45.508852	7.6
-122.77045	45.508963	5.4
-122.77026	45.509167	5.6
-122.769917	45.509323	6.4
-122.769613	45.509555	6.8
-122.769512	45.509823	6
-122.769592	45.510018	4.4
-122.769887	45.510063	4.2
-122.770035	45.510052	2.2
-122.770252	45.510032	3.4
-122.770792	45.509973	1.72
-122.77112	45.509943	5
-122.771412	45.50992	4.6
-122.771612	45.509905	2.8
-122.772105	45.509863	1.3333333333333333
-122.77245	45.509885	5.2
-122.772652	45.509767	3.4
-122.77265	45.50953	5.8
-122.772615	45.509242	7.4
-122.772482	45.508977	6.2
-122.772007	45.50887	8.6
-122.77131	45.50879	11.8
-122.770407	45.508693	14.6
-122.76935	45.50862	16.6
-122.768292	45.508563	16.4
-122.767282	45.508538	15.6
-122.76626	45.508565	15.8
-122.76522	45.508687	16.4
-122.764377	45.50886	13
-122.76395	45.50897	6.2
-122.763352	45.509195	2.8
-122.762748	45.509452	11.2
-122.762058	45.509757	12.8
-122.760838	45.510582	13.2
-122.760378	45.510992	11
-122.76016	45.51116	4
-122.759602	45.511518	3.25
-122.759045	45.511755	10.4
-122.758375	45.51198	11.6
-122.757608	45.512188	12.8
-122.756863	45.512428	12.8
-122.756263	45.512822	12.8
-122.755747	45.513328	14
-122.755242	45.513883	14.4
-122.754743	45.514445	14.6
-122.754128	45.514875	13
-122.753737	45.515082	6.6
-122.753645	45.515137	1.4
-122.753637	45.51514	0.02857142857142857
-122.753458	45.515235	4.2
-122.753088	45.515437	7.6
-122.752638	45.51567	8.6
-122.752353	45.515812	4.4
-122.751602	45.516227	2.7333333333333334
