longitude	latitude	speed
-122.788788	45.514392	8.6
-122.788723	45.514292	2.4
-122.788678	45.514218	1.6
-122.788453	45.513862	8.8
-122.787998	45.51337	16.25
-122.787258	45.512907	15.2
-122.786332	45.512618	15.8
-122.785447	45.51253	13.8
-122.784553	45.512503	14
-122.783653	45.512478	14
-122.782737	45.512445	14.2
-122.78175	45.512413	15.4
-122.78067	45.512358	16.8
-122.779678	45.512157	15.8
-122.77886	45.511812	14.8
-122.778273	45.511402	12.8
-122.778103	45.511062	8
-122.778228	45.510843	4.166666666666667
-122.778678	45.510757	9
-122.779243	45.510597	9.6
-122.779788	45.510315	10.4
-122.780315	45.510032	10.2
-122.780865	45.509887	9
-122.78134	45.50991	7.2
-122.78164	45.510015	5
-122.782375	45.510262	2.56
-122.782867	45.510465	8.8
-122.783448	45.51069	10.4
-122.784088	45.510962	11.6
-122.78467	45.511255	11
-122.784913	45.511663	10
-122.784677	45.512058	9.6
-122.784477	45.512353	7.4
-122.784433	45.512438	1.8
-122.784127	45.512527	5.4
-122.783547	45.51249	9
-122.78286	45.512468	10.8
-122.782018	45.512465	13.2
-122.781047	45.512433	15.2
-122.779993	45.512288	16.6
-122.77907	45.511963	16
-122.778353	45.511563	14
-122.77799	45.511247	8.6
-122.7779	45.511147	2.6
-122.777892	45.511137	0.016666666666666666
-122.777717	45.510915	5.8
-122.777307	45.51067	8.6
-122.7767	45.510508	10.2
-122.776168	45.510262	9.8
-122.775892	45.51012	5
-122.775772	45.51006	0.8
-122.77534	45.509842	8.4
-122.774755	45.509548	11.2
-122.774038	45.509268	12.6
-122.773407	45.50914	10.2
-122.77317	45.509108	3.4
-122.773162	45.509108	0
-122.773128	45.509103	0.6
-122.772737	45.509058	6.6
-122.772088	45.508973	10.2
-122.771398	45.508908	10.8
-122.77098	45.50886	6.2
-122.770918	45.50885	0.8
-122.770917	45.50885	0
-122.770917	45.50885	0
-122.770912	45.508848	0.5
-122.770912	45.508848	0
-122.770912	45.508848	0
-122.770903	45.508848	0
-122.770625	45.508843	4.6
-122.770393	45.50904	5.8
-122.770035	45.509247	7.2
-122.769662	45.509487	8
-122.769523	45.509827	7.6
-122.769645	45.51003	4.6
-122.76985	45.510048	2.8
-122.77002	45.51003	2.4
-122.770172	45.510013	0.8666666666666667
-122.770323	45.51	2
-122.771123	45.50992	0.5416666666666666
-122.771458	45.509892	5.2
-122.77163	45.509878	2.2
-122.771763	45.509865	2.4
-122.772087	45.509842	5.2
-122.772428	45.509863	5
-122.772658	45.509818	3.6
-122.772705	45.509613	5.2
-122.772672	45.50934	6.6
