longitude	latitude	speed
-122.659873	45.52291	9.4
-122.659272	45.522905	9.4
-122.658673	45.5229	9.2
-122.658117	45.522888	8.6
-122.65787	45.522875	4
-122.65727	45.522887	0.92
-122.656722	45.52289	8.4
-122.656208	45.52289	8
-122.655857	45.52289	5.4
-122.655422	45.522892	6.8
-122.654867	45.52289	8.4
-122.654278	45.522868	9.2
-122.653873	45.522842	6.4
-122.6531	45.522863	0.7375
-122.65253	45.522863	8.8
-122.651932	45.522853	9.4
-122.651317	45.522853	9.4
-122.650687	45.52286	9.8
-122.650082	45.522855	9.2
-122.649513	45.522843	8.8
-122.64924	45.522837	4.4
-122.64877	45.52285	1.8
-122.648193	45.522852	9
-122.647578	45.522847	9.4
-122.646952	45.522847	9.8
-122.64634	45.52284	9.4
-122.645843	45.52283	7.6
-122.645705	45.522833	2.2
-122.64559	45.522833	0.6
-122.644553	45.522843	8
-122.643932	45.522842	9.6
-122.643328	45.522838	9.2
-122.642702	45.522837	9.8
-122.64209	45.522837	9.4
-122.641503	45.52283	9
-122.640903	45.522828	9.4
-122.640253	45.522827	10
-122.639592	45.522822	10.2
-122.638943	45.522827	10
-122.638307	45.522835	9.8
-122.637738	45.522827	8.8
-122.637513	45.522825	3.4
-122.637292	45.522823	1.1333333333333333
-122.636965	45.522822	5
-122.636887	45.522818	1.2
-122.636037	45.522832	2.2333333333333334
-122.635428	45.522833	9.4
-122.634823	45.522835	9.2
-122.634443	45.52283	5.8
-122.634345	45.52283	0.14545454545454545
-122.63392	45.522833	6.6
-122.6333	45.52283	9.6
-122.632612	45.52283	10.8
-122.631992	45.522822	9.6
-122.631393	45.522818	9.2
-122.630738	45.522842	10.2
-122.630023	45.52285	11
-122.6293	45.522845	11.2
-122.628523	45.522843	12
-122.62772	45.522858	12.4
-122.626925	45.52292	12.4
-122.626128	45.523012	12.6
-122.62537	45.523167	12.2
-122.623907	45.523442	11.7
-122.62341	45.523475	7.6
-122.623265	45.523478	2.2
-122.62227	45.523475	3.12
-122.621608	45.523388	10.4
-122.620952	45.523245	10.6
-122.620287	45.523112	10.6
-122.619662	45.522903	10.8
-122.618997	45.522767	10.8
-122.618277	45.522813	11
-122.617682	45.522983	10
-122.617513	45.52302	2.6
-122.616547	45.523108	3.85
-122.61588	45.523107	10.2
-122.615253	45.523008	10
-122.61468	45.522885	9.2
-122.61399	45.522888	10.8
-122.61325	45.522897	11.4
-122.61253	45.522897	11.2
-122.611828	45.522893	10.8
-122.611105	45.52289	11.2
-122.610423	45.52288	10.6
-122.610073	45.522853	5.2
-122.609328	45.522853	1.9666666666666666
-122.608687	45.52285	10
-122.60804	45.52285	9.8
-122.60744	45.522848	9.2
-122.607133	45.522845	4.6
-122.605835	45.522873	4.08
-122.605133	45.522873	10.8
-122.604423	45.522873	11
-122.60369	45.522873	11.4
-122.603058	45.522858	9.6
-122.602562	45.522842	7.6
-122.601958	45.522845	9.6
-122.60123	45.522862	11.2
-122.600485	45.522863	11.6
-122.599732	45.522862	11.6
-122.598978	45.522863	11.8
-122.59824	45.522895	11.4
-122.597498	45.523047	12
-122.596738	45.523107	11.8
-122.596012	45.52311	11.2
-122.595498	45.523085	7.8
-122.594575	45.523113	2.92
-122.593912	45.523118	10.2
-122.593285	45.523128	9.6
